iter	Passed	Remaining
0	242	242438
1	246	123136
2	248	82586
3	252	62857
4	256	50976
5	262	43448
6	265	37637
7	269	33462
8	274	30278
9	276	27400
10	278	25022
11	279	23017
12	281	21376
13	283	19954
14	285	18753
15	289	17830
16	292	16938
17	294	16087
18	298	15401
19	300	14731
20	302	14116
21	304	13544
22	306	13006
23	307	12516
24	310	12110
25	313	11736
26	317	11424
27	318	11069
28	320	10737
29	322	10433
30	324	10154
31	327	9903
32	329	9659
33	331	9412
34	333	9181
35	335	8987
36	340	8856
37	342	8674
38	344	8489
39	346	8309
40	348	8153
41	351	8026
42	355	7905
43	357	7760
44	359	7619
45	361	7489
46	362	7360
47	365	7247
48	367	7134
49	370	7038
50	372	6929
51	374	6826
52	376	6725
53	381	6679
54	383	6593
55	385	6505
56	388	6422
57	391	6360
58	396	6319
59	398	6240
60	399	6154
61	401	6073
62	403	6000
63	407	5957
64	410	5898
65	412	5833
66	414	5766
67	415	5691
68	417	5627
69	422	5611
70	425	5569
71	428	5526
72	431	5473
73	432	5417
74	435	5374
75	437	5320
76	439	5267
77	441	5216
78	443	5170
79	445	5120
80	447	5075
81	448	5026
82	450	4980
83	452	4934
84	453	4881
85	454	4835
86	456	4786
87	458	4747
88	459	4705
89	461	4670
90	464	4636
91	466	4603
92	468	4567
93	470	4530
94	471	4493
95	473	4455
96	475	4423
97	477	4395
98	479	4363
99	480	4328
100	482	4291
101	482	4249
102	483	4213
103	484	4177
104	485	4142
105	487	4108
106	488	4076
107	492	4064
108	494	4044
109	496	4020
110	499	3998
111	501	3976
112	508	3990
113	511	3972
114	515	3968
115	517	3944
116	527	3980
117	531	3970
118	533	3950
119	538	3945
120	541	3937
121	546	3929
122	547	3904
123	552	3902
124	555	3887
125	558	3876
126	563	3872
127	566	3856
128	570	3853
129	575	3848
130	577	3834
131	581	3826
132	584	3807
133	586	3792
134	595	3817
135	598	3804
136	600	3782
137	601	3759
138	604	3743
139	608	3736
140	610	3720
141	612	3702
142	614	3684
143	617	3668
144	619	3652
145	621	3637
146	624	3626
147	627	3611
148	629	3594
149	631	3577
150	634	3566
151	636	3549
152	638	3534
153	640	3517
154	641	3499
155	646	3497
156	648	3481
157	650	3465
158	652	3450
159	654	3434
160	655	3418
161	658	3407
162	660	3393
163	662	3376
164	664	3361
165	666	3348
166	668	3334
167	670	3318
168	671	3302
169	672	3285
170	674	3269
171	675	3252
172	676	3235
173	678	3222
174	680	3206
175	681	3191
176	683	3175
177	684	3160
178	686	3147
179	687	3133
180	689	3119
181	690	3104
182	692	3093
183	695	3083
184	697	3072
185	699	3059
186	701	3048
187	703	3039
188	705	3028
189	707	3016
190	709	3004
191	711	2992
192	712	2981
193	716	2975
194	719	2970
195	724	2971
196	726	2961
197	728	2951
198	730	2940
